date,holiday_name,is_public_holiday
2020-01-01,Tết Dương lịch,true
2020-01-23,29 Tết,true
2020-01-24,Giao thừa Tết Nguyên Đán,true
2020-01-25,Tết Nguyên Đán,true
2020-01-26,Mùng hai Tết Nguyên Đán,true
2020-01-27,Mùng ba Tết Nguyên Đán,true
2020-01-28,Mùng bốn Tết Nguyên Đán,true
2020-01-29,Mùng năm Tết Nguyên Đán,true
2020-04-02,Ngày Giỗ Tổ Hùng Vương,true
2020-04-30,Ngày Chiến thắng,true
2020-05-01,Ngày Quốc tế Lao động,true
2020-09-02,Quốc khánh,true
2021-01-01,Tết Dương lịch,true
2021-02-10,29 Tết,true
2021-02-11,Giao thừa Tết Nguyên Đán,true
2021-02-12,Tết Nguyên Đán,true
2021-02-13,Mùng hai Tết Nguyên Đán,true
2021-02-14,Mùng ba Tết Nguyên Đán,true
2021-02-15,Mùng bốn Tết Nguyên Đán,true
2021-02-16,Mùng năm Tết Nguyên Đán,true
2021-04-21,Ngày Giỗ Tổ Hùng Vương,true
2021-04-30,Ngày Chiến thắng,true
2021-05-01,Ngày Quốc tế Lao động,true
2021-05-03,Ngày Quốc tế Lao động (nghỉ bù),true
2021-09-02,Quốc khánh,true
2021-09-03,Quốc khánh,true
2022-01-01,Tết Dương lịch,true
2022-01-03,Tết Dương lịch (nghỉ bù),true
2022-01-31,Giao thừa Tết Nguyên Đán,true
2022-02-01,Tết Nguyên Đán,true
2022-02-02,Mùng hai Tết Nguyên Đán,true
2022-02-03,Mùng ba Tết Nguyên Đán,true
2022-02-04,Mùng bốn Tết Nguyên Đán,true
2022-04-10,Ngày Giỗ Tổ Hùng Vương,true
2022-04-11,Ngày Giỗ Tổ Hùng Vương (nghỉ bù),true
2022-04-30,Ngày Chiến thắng,true
2022-05-01,Ngày Quốc tế Lao động,true
2022-05-02,Ngày Chiến thắng (nghỉ bù),true
2022-05-03,Ngày Quốc tế Lao động (nghỉ bù),true
2022-09-01,Quốc khánh,true
2022-09-02,Quốc khánh,true
2023-01-01,Tết Dương lịch,true
2023-01-02,Tết Dương lịch (nghỉ bù),true
2023-01-20,29 Tết,true
2023-01-21,Giao thừa Tết Nguyên Đán,true
2023-01-22,Tết Nguyên Đán,true
2023-01-23,Mùng hai Tết Nguyên Đán,true
2023-01-24,Mùng ba Tết Nguyên Đán,true
2023-01-25,Mùng bốn Tết Nguyên Đán,true
2023-01-26,Mùng năm Tết Nguyên Đán,true
2023-04-29,Ngày Giỗ Tổ Hùng Vương,true
2023-04-30,Ngày Chiến thắng,true
2023-05-01,Ngày Quốc tế Lao động,true
2023-05-02,Ngày Giỗ Tổ Hùng Vương (nghỉ bù),true
2023-05-03,Ngày Chiến thắng (nghỉ bù),true
2023-09-01,Quốc khánh,true
2023-09-02,Quốc khánh,true
2023-09-04,Quốc khánh (nghỉ bù),true
2024-01-01,Tết Dương lịch,true
2024-02-08,29 Tết,true
2024-02-09,Giao thừa Tết Nguyên Đán,true
2024-02-10,Tết Nguyên Đán,true
2024-02-11,Mùng hai Tết Nguyên Đán,true
2024-02-12,Mùng ba Tết Nguyên Đán,true
2024-02-13,Mùng bốn Tết Nguyên Đán,true
2024-02-14,Mùng năm Tết Nguyên Đán,true
2024-04-18,Ngày Giỗ Tổ Hùng Vương,true
2024-04-29,Ngày nghỉ (thay cho ngày 04/05/2024),true
2024-04-30,Ngày Chiến thắng,true
2024-05-01,Ngày Quốc tế Lao động,true
2024-09-02,Quốc khánh,true
2024-09-03,Quốc khánh,true
2025-01-01,Tết Dương lịch,true
2025-01-27,29 Tết,true
2025-01-28,Giao thừa Tết Nguyên Đán,true
